,kot,pies,krowa,koń,świnia,owce,koza,kurczak,kaczka,gęś,królik,mysz,szczur,jeleń,niedźwiedź,wilk,lis,lew,tygrys,słoń,małpa,żyrafa,zebra,wielbłąd,kangur,wąż,żaba,ryba,wieloryb,delfin,orzeł,sowa,wrona,pszczoła,mrówka,motyl,pająk,żółw,rekin,pingwin
cat,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.00,0.00
dog,0.33,0.00,0.20,0.33,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.17,0.25,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.17,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.14
cow,0.33,0.00,0.40,0.33,0.00,0.25,0.25,0.14,0.17,0.00,0.00,0.00,0.17,0.00,0.10,0.00,0.00,0.33,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.50,0.20,0.25,0.17,0.20,0.00,0.25,0.00,0.14
horse,0.20,0.20,0.00,0.20,0.00,0.40,0.20,0.14,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,0.20,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.40,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00
pig,0.00,0.50,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.10,0.25,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.20,0.43
sheep,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
goat,0.50,0.00,0.20,0.25,0.00,0.00,0.25,0.14,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.14
chicken,0.14,0.29,0.00,0.14,0.14,0.29,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.10,0.29,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.12,0.14,0.00,0.14,0.00,0.29,0.14
duck,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.43,0.33,0.00,0.17,0.00,0.17,0.00,0.10,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.17,0.00,0.20,0.00,0.00,0.00
goose,0.20,0.20,0.20,0.20,0.00,0.40,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.10,0.00,0.20,0.00,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.00
rabbit,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.10,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.17,0.12,0.17,0.00,0.33,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.33,0.14
mouse,0.20,0.20,0.00,0.20,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.10,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.00,0.17,0.40,0.00,0.00,0.00,0.00
rat,0.33,0.00,0.20,0.00,0.00,0.00,0.00,0.29,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.20,0.33,0.20,0.00,0.17,0.00,0.25,0.25,0.12,0.00,0.20,0.00,0.20,0.00,0.17,0.20,0.20,0.00,0.20,0.00
deer,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.40,0.20,0.00,0.00,0.25,0.17,0.00,0.00,0.00,0.40,0.12,0.17,0.00,0.00,0.00,0.25,0.33,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
bear,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.20,0.10,0.00,0.00,0.25,0.17,0.00,0.00,0.17,0.40,0.12,0.17,0.00,0.00,0.00,0.25,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
wolf,0.25,0.00,0.20,0.25,0.17,0.00,0.25,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.10,0.50,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.33,0.00,0.25,0.40,0.12,0.00,0.20,0.00,0.00,0.00,0.00
fox,0.33,0.00,0.20,0.33,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.00,0.25,0.20,0.12,0.00,0.20,0.00,0.00,0.00,0.00
lion,0.25,0.25,0.20,0.25,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.10,0.25,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.25,0.33,0.00,0.00,0.40,0.12,0.00,0.00,0.00,0.00,0.20,0.29
tiger,0.00,0.40,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.20,0.20,0.20,0.20,0.20,0.33,0.00,0.00,0.00,0.00,0.12,0.33,0.00,0.00,0.00,0.25,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
elephant,0.12,0.12,0.12,0.00,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.25,0.10,0.00,0.12,0.25,0.00,0.00,0.25,0.12,0.25,0.12,0.00,0.00,0.12,0.12,0.12,0.25,0.00,0.12,0.12,0.00,0.12,0.00,0.12,0.00,0.25,0.12
monkey,0.17,0.17,0.00,0.17,0.00,0.33,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.10,0.17,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.00,0.33,0.17,0.17,0.00,0.17,0.33,0.00,0.00,0.17,0.14
giraffe,0.00,0.14,0.14,0.00,0.00,0.14,0.14,0.14,0.00,0.14,0.14,0.00,0.00,0.00,0.20,0.14,0.14,0.00,0.00,0.00,0.14,0.43,0.14,0.12,0.00,0.00,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.14
zebra,0.00,0.00,0.20,0.00,0.17,0.00,0.20,0.14,0.17,0.00,0.00,0.00,0.17,0.20,0.10,0.00,0.00,0.20,0.17,0.00,0.20,0.17,1.00,0.25,0.00,0.00,0.40,0.40,0.25,0.17,0.00,0.20,0.20,0.25,0.17,0.00,0.00,0.00,0.20,0.00
camel,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.12,0.17,0.00,0.20,0.00,0.12,0.00,0.20,0.00,0.00,0.12,0.00,0.20,0.20,0.00,0.00,0.00
kangaroo,0.25,0.00,0.25,0.25,0.12,0.00,0.25,0.12,0.25,0.12,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.25,0.12,0.25,0.12,0.12,0.00,0.62,0.00,0.25,0.12,0.12,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.25
snake,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.14,0.17,0.00,0.00,0.00,0.17,0.00,0.10,0.20,0.00,0.00,0.00,0.20,0.00,0.17,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.12,0.17,0.00,0.00,0.00,0.00,0.14
frog,0.25,0.00,0.40,0.25,0.00,0.00,0.00,0.14,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.00,0.20,0.00,0.40,0.12,0.17,0.00,0.00,0.00,0.00,0.14
fish,0.00,0.25,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.10,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
whale,0.00,0.00,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.10,0.40,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.25,0.00,0.20,0.20,0.00,0.25,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
dolphin,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.10,0.14,0.29,0.14,0.00,0.00,0.14,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.57,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.29,0.29
eagle,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.20,0.17,0.00,0.00,0.20,0.20,0.20,0.00,0.20,0.17,0.00,0.20,0.00,0.00,0.12,0.33,0.00,0.20,0.00,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.14
owl,0.00,0.00,0.40,0.00,0.17,0.50,0.25,0.00,0.00,0.00,0.17,0.00,0.00,0.20,0.10,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.17,0.20,0.50,0.20,0.12,0.17,0.40,0.00,0.00,0.00,0.14
crow,0.25,0.00,0.60,0.25,0.00,0.00,0.00,0.14,0.17,0.00,0.17,0.00,0.17,0.00,0.10,0.00,0.00,0.25,0.17,0.25,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.25,0.40,0.25,0.33,0.00,0.00,0.25,0.00,0.14
bee,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.20,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.20,0.12,0.00,0.00,0.00,0.00,0.12,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
ant,0.33,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.33,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,0.00,0.14
butterfly,0.11,0.11,0.11,0.00,0.00,0.11,0.00,0.11,0.00,0.00,0.11,0.00,0.11,0.11,0.00,0.11,0.00,0.11,0.22,0.00,0.00,0.11,0.11,0.00,0.11,0.00,0.00,0.11,0.11,0.22,0.11,0.00,0.11,0.00,0.00,0.22,0.00,0.00,0.11,0.00
spider,0.00,0.50,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.17,0.20,0.17,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.12,0.00,0.17,0.17,0.00,0.12,0.00,0.00,0.17,0.00,0.00,0.14
turtle,0.17,0.00,0.17,0.00,0.00,0.17,0.00,0.29,0.00,0.00,0.17,0.00,0.00,0.17,0.10,0.17,0.00,0.17,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00
shark,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.17,0.20,0.00,0.00,0.00,0.20,0.00,0.12,0.00,0.00,0.20,0.00,0.12,0.17,0.00,0.20,0.00,0.00,0.00
penguin,0.00,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,0.14,0.20,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.14,0.12,0.43,0.00,0.00,0.00,0.12,0.43,0.00,0.00,0.00,0.12,0.00,0.00,0.14,0.00,0.43,0.71
