,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
salle de sport,0.07,0.14,0.14,0.14,0.07,0.07,0.07,0.35,0.35,0.07,0.37,0.28,0.14,0.06,0.21,0.24,0.21,0.07,0.21,0.07,0.21,0.29,0.20,0.00,0.14,0.14,0.40,0.14,0.07,0.44,0.14,0.29,0.07,0.07,0.14,0.07,0.14,0.13,0.21,0.21,0.07,0.14,0.14,0.11,0.07,0.23,0.31,0.33,0.41,0.21,0.36,0.21,0.33,0.31,0.29,0.07,0.14,0.14,0.44,0.14,0.14,0.14,0.33,0.00,0.24,0.14,0.07,0.23
piscine,0.14,0.18,0.30,0.12,0.25,0.14,0.12,0.15,0.20,0.17,0.21,0.22,0.14,0.12,0.17,0.19,0.11,0.27,0.00,0.00,0.12,0.17,0.20,0.14,0.25,0.14,0.07,0.00,0.57,0.17,0.00,0.23,0.12,0.86,0.29,0.00,0.00,0.07,0.00,0.00,0.12,0.12,0.00,0.11,0.07,0.18,0.25,0.19,0.24,0.10,0.20,0.40,0.07,0.14,0.00,0.20,0.20,0.20,0.06,0.14,0.00,0.17,0.20,0.07,0.18,0.00,0.00,0.13
parc,0.00,0.09,0.10,0.12,0.12,0.14,0.38,0.15,0.10,0.08,0.16,0.11,0.40,0.12,0.25,0.10,0.33,0.18,0.22,0.00,0.12,0.12,0.05,0.29,0.12,0.00,0.13,0.33,0.00,0.11,0.14,0.15,0.12,0.29,0.50,0.00,0.29,0.20,0.00,0.25,0.00,0.12,0.00,0.11,0.13,0.09,0.12,0.05,0.12,0.20,0.12,0.20,0.07,0.11,0.25,0.10,0.20,0.20,0.06,0.25,0.22,0.17,0.13,0.07,0.18,0.00,0.00,0.10
zoo,0.00,0.00,0.10,0.00,0.12,0.00,0.00,0.10,0.10,0.08,0.05,0.11,0.20,0.12,0.08,0.05,0.00,0.00,0.00,0.20,0.00,0.08,0.10,0.00,0.12,0.20,0.00,0.17,0.00,0.11,0.14,0.15,0.00,0.00,0.00,1.00,0.14,0.13,0.00,0.00,0.12,0.12,0.17,0.11,0.07,0.09,0.00,0.05,0.06,0.20,0.08,0.10,0.13,0.03,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.12,0.14,0.20,0.06
aquarium,0.00,0.18,0.00,0.00,0.00,0.12,0.25,0.15,0.15,0.33,0.16,0.11,0.12,0.12,0.08,0.10,0.11,0.18,0.11,0.00,0.38,0.12,0.05,0.25,0.12,0.12,0.13,0.12,0.12,0.11,0.25,0.15,0.12,0.12,0.38,0.00,0.62,0.13,0.12,0.12,0.12,0.12,0.00,0.17,0.13,0.09,0.12,0.14,0.18,0.20,0.16,0.10,0.13,0.17,0.12,0.10,0.20,0.20,0.06,0.12,0.22,0.17,0.13,0.14,0.18,0.12,0.00,0.10
jardin botanique,0.06,0.12,0.19,0.12,0.19,0.12,0.25,0.15,0.20,0.25,0.21,0.17,0.19,0.12,0.06,0.24,0.19,0.25,0.12,0.12,0.25,0.17,0.20,0.12,0.12,0.06,0.19,0.06,0.19,0.17,0.19,0.19,0.19,0.19,0.31,0.06,0.19,0.69,0.12,0.12,0.12,0.25,0.06,0.22,0.06,0.27,0.06,0.29,0.12,0.12,0.28,0.19,0.19,0.23,0.12,0.19,0.06,0.06,0.12,0.06,0.19,0.19,0.19,0.19,0.18,0.12,0.12,0.23
église,0.00,0.09,0.30,0.12,0.12,0.14,0.00,0.15,0.10,0.08,0.16,0.11,0.00,0.06,0.08,0.10,0.11,0.09,0.11,0.00,0.12,0.08,0.10,0.14,0.12,0.17,0.13,0.00,0.33,0.11,0.00,0.23,0.12,0.14,0.17,0.00,0.00,0.07,0.43,0.00,0.12,0.00,0.00,0.06,0.07,0.09,0.12,0.14,0.12,0.10,0.08,0.30,0.07,0.09,0.12,0.10,0.20,0.20,0.12,0.00,0.11,0.17,0.13,0.07,0.12,0.00,0.00,0.06
cathédrale,0.10,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.15,0.08,0.11,0.17,0.10,0.25,0.17,0.14,0.20,0.27,0.30,0.20,0.30,0.17,0.05,0.10,0.00,0.00,0.27,0.20,0.20,0.17,0.20,0.08,0.10,0.10,0.30,0.00,0.20,0.07,0.10,0.70,0.10,0.10,0.20,0.17,0.27,0.18,0.19,0.19,0.18,0.00,0.16,0.10,0.20,0.17,0.20,0.10,0.00,0.00,0.25,0.10,0.10,0.17,0.27,0.21,0.12,0.00,0.20,0.16
mosquée,0.14,0.09,0.10,0.00,0.25,0.00,0.00,0.15,0.05,0.08,0.11,0.06,0.00,0.12,0.08,0.14,0.00,0.27,0.00,0.14,0.12,0.08,0.05,0.00,0.00,0.29,0.07,0.00,0.14,0.06,0.00,0.08,0.00,0.14,0.43,0.14,0.00,0.07,0.00,0.00,0.38,0.00,0.00,0.11,0.13,0.09,0.06,0.10,0.06,0.10,0.08,0.20,0.13,0.06,0.00,0.10,0.20,0.20,0.06,0.14,0.00,0.08,0.13,0.21,0.12,0.00,0.14,0.06
synagogue,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.15,0.20,0.25,0.16,0.22,0.22,0.19,0.08,0.19,0.22,0.18,0.00,0.11,0.33,0.08,0.10,0.00,0.00,0.11,0.13,0.11,0.22,0.22,0.11,0.08,0.11,0.00,0.33,0.11,0.11,0.13,0.00,0.00,0.00,0.67,0.11,0.17,0.20,0.14,0.19,0.29,0.18,0.10,0.12,0.10,0.20,0.11,0.11,0.10,0.00,0.00,0.19,0.22,0.00,0.25,0.13,0.29,0.06,0.11,0.11,0.10
temple,0.14,0.09,0.10,0.00,0.12,0.00,0.12,0.15,0.15,0.17,0.05,0.11,0.00,0.12,0.17,0.24,0.11,0.18,0.11,0.17,0.25,0.12,0.05,0.00,0.12,0.17,0.13,0.33,0.17,0.11,0.00,0.08,0.12,0.00,0.17,0.00,0.00,0.07,0.00,0.25,0.12,0.00,0.83,0.11,0.13,0.14,0.19,0.14,0.18,0.30,0.08,0.20,0.07,0.14,0.12,0.20,0.20,0.20,0.19,0.17,0.11,0.17,0.20,0.14,0.06,0.14,0.17,0.10
centre communautaire,0.20,0.15,0.10,0.15,0.15,0.15,0.20,0.05,0.10,0.20,0.10,0.10,0.15,0.50,0.15,0.29,0.15,0.30,0.15,0.10,0.15,0.17,0.10,0.15,0.10,0.10,0.20,0.25,0.15,0.20,0.20,0.20,0.20,0.15,0.15,0.05,0.20,0.20,0.10,0.20,0.20,0.15,0.15,0.65,0.50,0.41,0.25,0.24,0.20,0.25,0.20,0.15,0.20,0.26,0.10,0.20,0.15,0.15,0.10,0.05,0.10,0.20,0.15,0.40,0.20,0.20,0.10,0.39
centre culturel,0.27,0.13,0.07,0.20,0.13,0.13,0.13,0.20,0.25,0.13,0.26,0.28,0.13,0.50,0.13,0.33,0.20,0.27,0.27,0.20,0.20,0.21,0.15,0.13,0.13,0.13,0.13,0.27,0.20,0.22,0.13,0.13,0.00,0.07,0.20,0.00,0.20,0.07,0.07,0.33,0.20,0.07,0.20,0.56,0.87,0.41,0.25,0.33,0.18,0.27,0.16,0.07,0.13,0.17,0.13,0.27,0.20,0.20,0.19,0.00,0.13,0.27,0.13,0.53,0.18,0.20,0.20,0.35
centre des congrès,0.17,0.17,0.11,0.17,0.06,0.11,0.11,0.30,0.35,0.17,0.16,0.33,0.17,0.39,0.17,0.33,0.22,0.17,0.22,0.11,0.11,0.17,0.20,0.11,0.17,0.11,0.28,0.22,0.17,0.33,0.22,0.17,0.06,0.17,0.11,0.06,0.11,0.17,0.11,0.28,0.06,0.17,0.17,0.39,0.39,0.55,0.22,0.29,0.22,0.22,0.32,0.17,0.28,0.23,0.17,0.22,0.17,0.17,0.22,0.06,0.22,0.17,0.39,0.39,0.28,0.17,0.11,0.39
gare,0.14,0.09,0.10,0.25,0.00,0.00,0.25,0.15,0.10,0.17,0.11,0.17,0.20,0.12,0.17,0.10,0.22,0.27,0.22,0.20,0.25,0.12,0.05,0.14,0.00,0.20,0.27,0.33,0.25,0.11,0.14,0.08,0.25,0.00,0.50,0.00,0.29,0.13,0.14,0.25,0.00,0.12,0.00,0.11,0.07,0.09,0.19,0.10,0.12,0.20,0.16,0.30,0.13,0.09,0.25,0.20,0.10,0.10,0.12,0.00,0.44,0.33,0.13,0.14,0.24,0.00,0.20,0.06
gare routière,0.15,0.15,0.15,0.15,0.15,0.08,0.23,0.25,0.20,0.08,0.26,0.17,0.15,0.19,0.15,0.33,0.08,0.31,0.23,0.15,0.31,0.12,0.15,0.15,0.15,0.15,0.33,0.23,0.15,0.33,0.15,0.15,0.15,0.08,0.31,0.08,0.23,0.27,0.15,0.23,0.23,0.08,0.08,0.33,0.20,0.27,0.19,0.24,0.18,0.31,0.32,0.31,0.13,0.23,0.15,0.08,0.15,0.15,0.19,0.00,0.23,0.08,0.13,0.14,0.29,0.31,0.15,0.19
station de métro,0.06,0.12,0.19,0.12,0.12,0.06,0.12,0.20,0.60,0.25,0.37,0.39,0.19,0.12,0.19,0.29,0.25,0.19,0.12,0.12,0.12,0.29,0.25,0.06,0.19,0.12,0.31,0.31,0.19,0.28,0.25,0.25,0.12,0.12,0.12,0.12,0.12,0.25,0.12,0.19,0.06,0.19,0.25,0.28,0.19,0.27,0.56,0.48,0.76,0.31,0.24,0.25,0.38,0.23,0.31,0.19,0.06,0.06,0.31,0.12,0.19,0.25,0.50,0.19,0.18,0.12,0.12,0.26
aéroport,0.00,0.09,0.10,0.00,0.00,0.00,0.12,0.15,0.15,0.17,0.16,0.17,0.12,0.25,0.08,0.14,0.11,0.18,0.11,0.12,0.12,0.17,0.10,0.00,0.00,0.12,0.27,0.12,0.00,0.22,0.00,0.31,0.00,0.00,0.12,0.25,0.12,0.13,0.00,0.00,0.00,0.12,0.12,0.22,0.20,0.14,0.12,0.10,0.12,0.60,0.12,0.20,0.20,0.14,0.12,0.20,0.10,0.10,0.06,0.12,0.11,0.17,0.13,0.14,0.06,0.00,0.12,0.16
parking garage,0.07,0.14,0.14,0.14,0.14,0.14,0.21,0.15,0.15,0.14,0.21,0.22,0.14,0.06,0.07,0.10,0.29,0.21,0.14,0.00,0.21,0.25,0.10,0.14,0.00,0.00,0.27,0.07,0.21,0.17,0.07,0.14,0.14,0.29,0.29,0.00,0.21,0.20,0.21,0.21,0.07,0.29,0.00,0.11,0.13,0.14,0.19,0.19,0.12,0.14,0.24,0.29,0.13,0.20,0.14,0.21,0.14,0.14,0.12,0.07,0.14,0.36,0.20,0.00,0.18,0.14,0.00,0.16
station-service,0.07,0.20,0.27,0.20,0.13,0.20,0.13,0.15,0.35,0.13,0.26,0.17,0.20,0.31,0.20,0.19,0.27,0.20,0.20,0.13,0.27,0.17,0.20,0.20,0.13,0.13,0.13,0.20,0.20,0.28,0.27,0.20,0.27,0.20,0.20,0.07,0.20,0.20,0.20,0.20,0.07,0.20,0.13,0.17,0.13,0.23,0.38,0.33,0.35,0.27,0.20,0.27,0.07,0.20,0.20,0.27,0.13,0.13,0.19,0.13,0.20,0.20,0.20,0.20,0.06,0.07,0.13,0.23
lavage de voiture,0.06,0.12,0.12,0.12,0.12,0.06,0.12,0.30,0.35,0.12,0.37,0.28,0.12,0.06,0.12,0.33,0.24,0.18,0.18,0.12,0.24,0.25,0.25,0.06,0.24,0.12,0.35,0.18,0.12,0.33,0.18,0.24,0.12,0.06,0.18,0.06,0.12,0.18,0.18,0.18,0.18,0.18,0.12,0.22,0.18,0.27,0.29,0.33,0.29,0.18,0.36,0.18,0.53,0.26,0.41,0.06,0.06,0.06,0.29,0.06,0.18,0.18,0.29,0.12,0.29,0.12,0.12,0.29
atelier de réparation automobile,0.09,0.16,0.12,0.19,0.12,0.09,0.12,0.19,0.22,0.19,0.25,0.22,0.09,0.22,0.19,0.28,0.12,0.22,0.12,0.09,0.19,0.31,0.22,0.09,0.19,0.06,0.28,0.16,0.09,0.25,0.12,0.28,0.12,0.12,0.16,0.06,0.16,0.19,0.12,0.19,0.09,0.12,0.12,0.19,0.19,0.25,0.22,0.31,0.22,0.19,0.34,0.16,0.25,0.66,0.16,0.16,0.16,0.16,0.19,0.06,0.16,0.25,0.25,0.22,0.28,0.12,0.09,0.34
lessive,0.14,0.27,0.20,0.12,0.25,0.14,0.00,0.10,0.15,0.08,0.21,0.11,0.00,0.12,0.08,0.19,0.00,0.27,0.11,0.00,0.25,0.08,0.10,0.14,0.38,0.14,0.20,0.14,0.29,0.17,0.14,0.31,0.12,0.29,0.14,0.00,0.00,0.07,0.29,0.00,0.25,0.00,0.14,0.11,0.07,0.14,0.19,0.14,0.18,0.20,0.16,0.30,0.13,0.14,0.12,0.10,0.20,0.20,0.19,0.14,0.00,0.17,0.07,0.21,0.12,0.14,0.00,0.10
teinturier,0.20,0.18,0.10,0.20,0.00,0.20,0.10,0.10,0.25,0.33,0.16,0.22,0.10,0.25,0.08,0.19,0.10,0.27,0.20,0.20,0.10,0.12,0.10,0.20,0.20,0.20,0.13,0.40,0.30,0.22,0.30,0.23,0.20,0.20,0.20,0.00,0.20,0.20,0.20,0.10,0.30,0.20,0.20,0.28,0.27,0.23,0.25,0.24,0.29,0.20,0.16,0.10,0.07,0.20,0.10,0.50,0.20,0.20,0.12,0.00,0.10,0.25,0.13,0.21,0.12,0.30,0.20,0.26
salon de coiffure,0.12,0.18,0.12,0.12,0.12,0.18,0.18,0.30,0.40,0.18,0.32,0.33,0.24,0.18,0.18,0.33,0.24,0.12,0.12,0.12,0.29,0.21,0.25,0.06,0.18,0.12,0.29,0.12,0.18,0.50,0.12,0.24,0.12,0.12,0.18,0.12,0.12,0.18,0.18,0.12,0.12,0.18,0.06,0.17,0.24,0.32,0.29,0.43,0.29,0.18,0.28,0.24,0.24,0.26,0.24,0.12,0.12,0.12,0.47,0.06,0.12,0.18,0.29,0.12,0.24,0.12,0.12,0.26
salon de coiffure,0.12,0.18,0.12,0.12,0.12,0.18,0.18,0.30,0.40,0.18,0.32,0.33,0.24,0.18,0.18,0.33,0.24,0.12,0.12,0.12,0.29,0.21,0.25,0.06,0.18,0.12,0.29,0.12,0.18,0.50,0.12,0.24,0.12,0.12,0.18,0.12,0.12,0.18,0.18,0.12,0.12,0.18,0.06,0.17,0.24,0.32,0.29,0.43,0.29,0.18,0.28,0.24,0.24,0.26,0.24,0.12,0.12,0.12,0.47,0.06,0.12,0.18,0.29,0.12,0.24,0.12,0.12,0.26
salon de beauté,0.13,0.13,0.13,0.20,0.13,0.20,0.13,0.30,0.40,0.27,0.32,0.28,0.13,0.06,0.20,0.24,0.33,0.13,0.20,0.13,0.27,0.25,0.20,0.07,0.20,0.07,0.40,0.13,0.13,0.39,0.13,0.20,0.13,0.07,0.13,0.07,0.13,0.13,0.20,0.20,0.13,0.20,0.07,0.11,0.07,0.23,0.31,0.38,0.41,0.20,0.28,0.27,0.40,0.29,0.20,0.13,0.20,0.20,0.62,0.13,0.20,0.27,0.33,0.07,0.29,0.07,0.13,0.23
spa,0.29,0.18,0.10,0.12,0.38,0.14,0.12,0.15,0.10,0.08,0.11,0.06,0.00,0.06,0.25,0.05,0.11,0.18,0.11,0.00,0.00,0.08,0.05,0.14,0.12,0.20,0.07,0.17,0.00,0.11,0.29,0.08,0.25,0.29,0.17,0.00,0.14,0.00,0.29,0.12,0.12,0.25,0.17,0.06,0.07,0.00,0.12,0.10,0.12,0.10,0.08,0.20,0.07,0.06,0.12,0.10,0.10,0.10,0.12,1.00,0.11,0.08,0.07,0.00,0.06,0.00,0.00,0.06
garderie,0.12,0.27,0.10,0.25,0.00,0.00,0.38,0.25,0.20,0.17,0.21,0.28,0.12,0.25,0.25,0.24,0.44,0.18,0.33,0.12,0.38,0.17,0.15,0.12,0.00,0.12,0.47,0.12,0.12,0.28,0.12,0.31,0.25,0.00,0.38,0.00,0.38,0.27,0.25,0.25,0.00,0.00,0.00,0.17,0.13,0.23,0.25,0.19,0.24,0.30,0.28,0.30,0.20,0.20,0.38,0.20,0.20,0.20,0.25,0.00,0.67,0.33,0.27,0.21,0.35,0.12,0.12,0.16
jardin d'enfants,0.12,0.12,0.19,0.19,0.12,0.12,0.19,0.15,0.25,0.25,0.26,0.28,0.12,0.06,0.12,0.19,0.31,0.25,0.19,0.06,0.12,0.29,0.30,0.12,0.19,0.06,0.31,0.12,0.19,0.22,0.12,0.12,0.19,0.19,0.19,0.00,0.12,0.38,0.19,0.19,0.12,0.19,0.06,0.17,0.06,0.27,0.19,0.29,0.24,0.19,0.32,0.25,0.38,0.26,0.19,0.25,0.12,0.12,0.19,0.06,0.25,0.31,0.31,0.12,0.29,0.19,0.06,0.26
aire de jeux,0.17,0.08,0.17,0.17,0.00,0.00,0.08,0.30,0.35,0.08,0.32,0.33,0.00,0.19,0.17,0.29,0.17,0.08,0.17,0.08,0.25,0.25,0.25,0.00,0.08,0.08,0.40,0.08,0.17,0.28,0.08,0.08,0.08,0.08,0.17,0.00,0.08,0.13,0.17,0.17,0.08,0.08,0.08,0.11,0.13,0.27,0.38,0.33,0.41,0.25,0.28,0.08,0.33,0.23,0.17,0.17,0.08,0.08,0.38,0.00,0.17,0.17,0.47,0.14,0.24,0.17,0.08,0.19
centre jeunesse,0.20,0.13,0.07,0.13,0.00,0.13,0.07,0.20,0.25,0.20,0.21,0.28,0.07,0.38,0.13,0.29,0.13,0.27,0.20,0.13,0.20,0.17,0.15,0.07,0.07,0.13,0.20,0.20,0.20,0.17,0.13,0.07,0.13,0.07,0.20,0.00,0.07,0.07,0.13,0.20,0.13,0.07,0.13,0.44,0.40,0.45,0.19,0.29,0.24,0.27,0.20,0.13,0.13,0.20,0.07,0.20,0.20,0.20,0.25,0.07,0.13,0.20,0.20,0.60,0.18,0.20,0.13,0.29
maison de retraite pour personnes âgées,0.08,0.13,0.10,0.10,0.08,0.05,0.08,0.18,0.23,0.15,0.15,0.26,0.08,0.18,0.15,0.28,0.15,0.18,0.13,0.08,0.13,0.21,0.18,0.05,0.13,0.10,0.21,0.13,0.08,0.26,0.10,0.18,0.10,0.10,0.10,0.05,0.10,0.15,0.08,0.10,0.10,0.13,0.10,0.18,0.15,0.28,0.21,0.26,0.21,0.21,0.26,0.15,0.23,0.33,0.13,0.18,0.10,0.10,0.21,0.05,0.10,0.23,0.26,0.18,0.18,0.10,0.08,0.21
abri,0.00,0.18,0.20,0.25,0.12,0.14,0.25,0.10,0.15,0.17,0.11,0.11,0.20,0.12,0.08,0.10,0.22,0.18,0.22,0.00,0.38,0.08,0.05,0.43,0.12,0.00,0.13,0.33,0.00,0.11,0.14,0.15,0.12,0.14,0.17,0.00,0.43,0.20,0.14,0.25,0.12,0.12,0.00,0.11,0.07,0.09,0.12,0.10,0.12,0.20,0.08,0.20,0.07,0.09,0.25,0.10,0.10,0.10,0.12,0.00,0.22,0.08,0.07,0.14,0.12,0.14,0.00,0.10
hôtel,0.29,0.09,0.20,0.12,0.38,0.00,0.00,0.10,0.10,0.17,0.05,0.06,0.00,0.19,0.08,0.10,0.11,0.09,0.22,0.80,0.12,0.08,0.05,0.00,0.00,0.20,0.07,0.17,0.20,0.06,0.14,0.08,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.38,0.00,0.00,0.17,0.06,0.13,0.09,0.12,0.10,0.12,0.10,0.08,0.10,0.07,0.06,0.12,0.20,0.10,0.10,0.12,0.00,0.11,0.17,0.13,0.21,0.12,0.00,0.80,0.06
centre d'information touristique,0.09,0.16,0.12,0.12,0.09,0.09,0.16,0.22,0.19,0.19,0.22,0.19,0.09,0.31,0.12,0.28,0.12,0.22,0.12,0.06,0.12,0.19,0.25,0.09,0.12,0.09,0.22,0.16,0.12,0.22,0.16,0.19,0.16,0.09,0.16,0.06,0.09,0.19,0.09,0.19,0.12,0.12,0.12,0.38,0.28,0.34,0.22,0.22,0.22,0.16,0.25,0.12,0.19,0.23,0.09,0.19,0.09,0.09,0.09,0.03,0.12,0.19,0.16,0.28,0.22,0.16,0.06,0.69
