,школа,університет,бібліотека,книжковий магазин,лікарня,клініка,аптека,поліцейська станція,пожежна станція,ратуша,будівля суду,поштове відділення,банк,торговий центр,супермаркет,продуктовий магазин,пекарня,ресторан,кафе,готель,хостел,житловий будинок,офісна будівля,фабрика,склад,музей,художня галерея,театр,кіно,концертний зал,стадіон,спортивний центр,спортзал,плавальний басейн,парк,зоопарк,акваріум,ботанічний сад,церква,собор,мечеть,синагога,храм,громадський центр,культурний центр,конференц-центр,залізничний вокзал,автовокзал,станція метро,аеропорт,гараж,азс,автомийка,автосервіс,пральня,хімчистка,перукарня,перукарня,салон краси,спа,дитячий центр,дитячий садок,дитячий майданчик,молодіжний центр,будинок для літніх людей,притулок,готель,туристично-інформаційний центр
школа,1.00,0.00,0.20,0.18,0.14,0.14,0.17,0.11,0.07,0.17,0.08,0.17,0.00,0.07,0.09,0.16,0.14,0.25,0.20,0.17,0.00,0.06,0.07,0.14,0.40,0.00,0.13,0.00,0.20,0.14,0.00,0.06,0.25,0.12,0.00,0.29,0.12,0.07,0.17,0.00,0.00,0.25,0.00,0.12,0.06,0.07,0.11,0.20,0.00,0.12,0.00,0.00,0.22,0.10,0.14,0.11,0.11,0.11,0.18,0.20,0.00,0.08,0.06,0.06,0.08,0.12,0.17,0.07
университет,0.00,0.91,0.09,0.18,0.09,0.00,0.09,0.16,0.07,0.09,0.17,0.17,0.00,0.14,0.27,0.11,0.09,0.09,0.09,0.09,0.27,0.12,0.07,0.18,0.09,0.09,0.20,0.18,0.00,0.21,0.00,0.25,0.09,0.18,0.09,0.09,0.18,0.07,0.18,0.09,0.18,0.09,0.09,0.24,0.31,0.27,0.11,0.00,0.15,0.27,0.09,0.09,0.18,0.09,0.09,0.18,0.09,0.09,0.00,0.09,0.15,0.08,0.06,0.19,0.17,0.09,0.09,0.20
библиотека,0.20,0.09,0.80,0.18,0.10,0.30,0.40,0.11,0.07,0.20,0.17,0.06,0.20,0.14,0.09,0.11,0.00,0.10,0.10,0.30,0.20,0.19,0.00,0.40,0.10,0.10,0.07,0.10,0.10,0.14,0.10,0.19,0.10,0.18,0.10,0.10,0.00,0.14,0.10,0.20,0.10,0.30,0.00,0.12,0.12,0.07,0.22,0.10,0.08,0.10,0.00,0.00,0.20,0.00,0.10,0.40,0.00,0.00,0.18,0.10,0.23,0.15,0.18,0.12,0.17,0.20,0.30,0.13
книжный магазин,0.07,0.07,0.07,0.76,0.07,0.20,0.07,0.16,0.13,0.07,0.07,0.11,0.07,0.07,0.13,0.47,0.07,0.13,0.13,0.00,0.00,0.12,0.13,0.07,0.07,0.13,0.20,0.07,0.13,0.20,0.13,0.12,0.07,0.24,0.07,0.07,0.07,0.13,0.07,0.00,0.07,0.27,0.07,0.06,0.12,0.07,0.28,0.07,0.13,0.00,0.13,0.13,0.13,0.00,0.07,0.07,0.07,0.07,0.27,0.07,0.13,0.20,0.35,0.12,0.12,0.07,0.00,0.20
больница,0.25,0.09,0.30,0.12,0.00,0.38,0.12,0.21,0.20,0.12,0.17,0.11,0.25,0.21,0.00,0.16,0.00,0.00,0.00,0.12,0.12,0.12,0.07,0.25,0.12,0.00,0.13,0.00,0.12,0.29,0.00,0.25,0.00,0.29,0.00,0.12,0.00,0.36,0.12,0.12,0.00,0.12,0.00,0.24,0.31,0.20,0.22,0.10,0.00,0.00,0.00,0.00,0.22,0.10,0.25,0.11,0.00,0.00,0.27,0.12,0.15,0.15,0.12,0.31,0.17,0.00,0.12,0.13
клиника,0.14,0.09,0.30,0.24,0.00,0.71,0.29,0.16,0.13,0.14,0.08,0.06,0.29,0.07,0.09,0.16,0.00,0.12,0.14,0.00,0.00,0.19,0.07,0.43,0.14,0.00,0.13,0.00,0.29,0.29,0.00,0.19,0.12,0.24,0.14,0.00,0.12,0.21,0.14,0.00,0.00,0.25,0.00,0.06,0.25,0.13,0.33,0.20,0.08,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.11,0.11,0.36,0.14,0.08,0.15,0.18,0.19,0.12,0.12,0.00,0.10
аптека,0.17,0.09,0.40,0.12,0.00,0.29,1.00,0.16,0.13,0.33,0.00,0.11,0.17,0.07,0.18,0.11,0.29,0.25,0.17,0.33,0.17,0.06,0.07,0.43,0.00,0.17,0.07,0.17,0.00,0.14,0.00,0.19,0.25,0.12,0.33,0.14,0.12,0.14,0.17,0.00,0.17,0.12,0.00,0.12,0.12,0.07,0.17,0.40,0.15,0.12,0.00,0.17,0.44,0.30,0.00,0.22,0.22,0.22,0.27,0.33,0.15,0.15,0.12,0.06,0.04,0.12,0.33,0.07
полицейский участок,0.11,0.21,0.11,0.21,0.16,0.16,0.16,0.47,0.26,0.11,0.11,0.11,0.11,0.26,0.11,0.21,0.21,0.16,0.11,0.11,0.16,0.32,0.16,0.11,0.16,0.11,0.05,0.16,0.11,0.37,0.16,0.26,0.11,0.37,0.16,0.16,0.11,0.26,0.21,0.11,0.16,0.16,0.05,0.26,0.26,0.16,0.21,0.11,0.16,0.11,0.05,0.05,0.16,0.11,0.11,0.16,0.21,0.21,0.21,0.11,0.26,0.37,0.21,0.32,0.08,0.26,0.11,0.13
пожарная станция,0.06,0.06,0.06,0.18,0.25,0.12,0.12,0.47,0.75,0.19,0.19,0.17,0.12,0.19,0.19,0.21,0.31,0.19,0.06,0.12,0.19,0.06,0.31,0.12,0.06,0.00,0.25,0.12,0.06,0.19,0.19,0.19,0.19,0.24,0.19,0.12,0.12,0.25,0.12,0.12,0.06,0.19,0.12,0.12,0.12,0.12,0.06,0.12,0.19,0.12,0.19,0.12,0.12,0.12,0.31,0.12,0.25,0.25,0.25,0.12,0.12,0.19,0.18,0.12,0.12,0.19,0.12,0.13
ратуша,0.17,0.09,0.20,0.06,0.00,0.14,0.33,0.11,0.13,1.00,0.08,0.06,0.17,0.07,0.18,0.16,0.00,0.38,0.17,0.17,0.00,0.12,0.14,0.29,0.00,0.00,0.07,0.17,0.00,0.14,0.14,0.06,0.12,0.12,0.17,0.00,0.12,0.14,0.17,0.00,0.00,0.25,0.17,0.12,0.12,0.07,0.11,0.20,0.08,0.12,0.17,0.17,0.22,0.10,0.29,0.11,0.22,0.22,0.18,0.17,0.08,0.15,0.12,0.00,0.04,0.38,0.17,0.10
здание суда,0.09,0.09,0.09,0.18,0.00,0.18,0.27,0.16,0.13,0.27,0.42,0.17,0.18,0.14,0.00,0.21,0.09,0.09,0.18,0.09,0.09,0.25,0.21,0.18,0.09,0.09,0.13,0.09,0.09,0.14,0.09,0.19,0.00,0.29,0.09,0.09,0.18,0.36,0.18,0.00,0.09,0.18,0.09,0.18,0.19,0.07,0.28,0.09,0.23,0.09,0.09,0.18,0.18,0.09,0.09,0.27,0.00,0.00,0.09,0.18,0.15,0.31,0.24,0.25,0.17,0.09,0.09,0.13
почтовое отделение,0.11,0.17,0.17,0.17,0.06,0.06,0.11,0.16,0.22,0.06,0.17,0.56,0.06,0.33,0.11,0.26,0.17,0.17,0.06,0.22,0.22,0.28,0.17,0.00,0.06,0.06,0.22,0.17,0.06,0.17,0.17,0.28,0.17,0.11,0.06,0.11,0.06,0.11,0.06,0.11,0.17,0.06,0.00,0.11,0.11,0.22,0.00,0.28,0.11,0.17,0.00,0.00,0.11,0.17,0.17,0.06,0.17,0.17,0.17,0.00,0.22,0.17,0.17,0.22,0.17,0.17,0.22,0.20
банк,0.00,0.00,0.20,0.06,0.29,0.29,0.17,0.11,0.13,0.17,0.08,0.06,1.00,0.07,0.18,0.05,0.29,0.12,0.25,0.00,0.00,0.19,0.07,0.29,0.00,0.00,0.07,0.20,0.25,0.07,0.14,0.06,0.00,0.12,0.50,0.29,0.12,0.21,0.17,0.00,0.00,0.12,0.00,0.12,0.06,0.07,0.17,0.10,0.15,0.00,0.20,0.25,0.11,0.00,0.29,0.11,0.22,0.22,0.27,0.00,0.08,0.15,0.18,0.06,0.12,0.12,0.00,0.07
торговый центр,0.07,0.14,0.07,0.24,0.07,0.00,0.07,0.16,0.13,0.07,0.14,0.28,0.07,0.93,0.14,0.26,0.07,0.14,0.07,0.21,0.14,0.31,0.00,0.00,0.00,0.07,0.13,0.29,0.07,0.07,0.14,0.62,0.07,0.12,0.07,0.14,0.07,0.07,0.14,0.21,0.14,0.07,0.07,0.47,0.44,0.40,0.11,0.14,0.21,0.21,0.07,0.00,0.14,0.07,0.14,0.00,0.14,0.14,0.14,0.00,0.50,0.14,0.12,0.50,0.12,0.07,0.21,0.33
супермаркет,0.09,0.27,0.09,0.12,0.18,0.09,0.18,0.11,0.13,0.18,0.08,0.11,0.18,0.14,1.00,0.16,0.36,0.18,0.18,0.09,0.09,0.00,0.07,0.18,0.18,0.18,0.20,0.18,0.00,0.14,0.18,0.25,0.27,0.06,0.36,0.27,0.18,0.00,0.27,0.18,0.18,0.18,0.18,0.18,0.25,0.27,0.06,0.00,0.23,0.27,0.18,0.09,0.18,0.09,0.27,0.09,0.36,0.36,0.18,0.27,0.15,0.00,0.12,0.12,0.08,0.18,0.09,0.20
продуктовый магазин,0.16,0.11,0.11,0.63,0.11,0.11,0.11,0.11,0.16,0.16,0.16,0.21,0.05,0.26,0.16,0.95,0.16,0.26,0.11,0.11,0.11,0.21,0.11,0.11,0.11,0.11,0.21,0.11,0.05,0.21,0.16,0.21,0.16,0.26,0.11,0.16,0.16,0.21,0.16,0.11,0.05,0.16,0.11,0.21,0.11,0.05,0.16,0.21,0.11,0.11,0.11,0.11,0.21,0.11,0.16,0.11,0.21,0.21,0.21,0.05,0.21,0.26,0.32,0.16,0.08,0.21,0.11,0.20
пекарня,0.14,0.09,0.00,0.12,0.71,0.00,0.29,0.32,0.33,0.00,0.08,0.22,0.29,0.07,0.36,0.16,1.00,0.25,0.29,0.00,0.00,0.06,0.14,0.00,0.14,0.00,0.20,0.29,0.29,0.14,0.00,0.12,0.12,0.18,0.43,0.14,0.25,0.14,0.14,0.14,0.14,0.12,0.14,0.12,0.12,0.13,0.06,0.00,0.08,0.12,0.29,0.14,0.00,0.10,0.43,0.00,0.78,0.78,0.09,0.14,0.08,0.08,0.12,0.06,0.08,0.12,0.00,0.07
ресторан,0.25,0.09,0.10,0.18,0.12,0.12,0.25,0.21,0.20,0.38,0.00,0.17,0.12,0.14,0.18,0.26,0.25,1.00,0.00,0.12,0.25,0.12,0.07,0.12,0.25,0.00,0.07,0.38,0.12,0.21,0.25,0.12,0.25,0.12,0.12,0.12,0.00,0.07,0.25,0.25,0.12,0.12,0.25,0.18,0.19,0.20,0.11,0.20,0.00,0.25,0.25,0.12,0.11,0.20,0.00,0.11,0.22,0.22,0.18,0.25,0.08,0.08,0.12,0.06,0.08,0.12,0.12,0.23
кафе,0.20,0.09,0.10,0.12,0.29,0.14,0.17,0.11,0.07,0.17,0.00,0.06,0.25,0.07,0.18,0.11,0.29,0.00,1.00,0.17,0.17,0.00,0.07,0.14,0.20,0.20,0.13,0.20,0.25,0.14,0.14,0.06,0.00,0.12,0.25,0.14,0.25,0.07,0.00,0.00,0.17,0.12,0.00,0.12,0.12,0.20,0.06,0.10,0.15,0.00,0.20,0.25,0.00,0.10,0.14,0.00,0.22,0.22,0.18,0.00,0.08,0.08,0.06,0.06,0.08,0.00,0.17,0.07
отель,0.20,0.09,0.30,0.06,0.00,0.00,0.33,0.16,0.13,0.17,0.08,0.22,0.00,0.14,0.09,0.11,0.00,0.12,0.00,0.83,0.50,0.06,0.14,0.00,0.00,0.00,0.13,0.20,0.00,0.14,0.14,0.19,0.25,0.12,0.00,0.14,0.00,0.14,0.00,0.00,0.33,0.00,0.00,0.12,0.12,0.13,0.06,0.10,0.15,0.12,0.00,0.00,0.11,0.20,0.29,0.00,0.00,0.00,0.09,0.00,0.15,0.08,0.06,0.12,0.12,0.25,0.83,0.07
общежитие,0.00,0.27,0.10,0.12,0.00,0.00,0.11,0.16,0.20,0.00,0.00,0.17,0.11,0.21,0.18,0.16,0.11,0.00,0.11,0.11,0.11,0.12,0.07,0.11,0.00,0.11,0.13,0.22,0.00,0.21,0.00,0.19,0.00,0.12,0.00,0.00,0.00,0.14,0.11,0.11,0.22,0.00,0.00,0.18,0.12,0.20,0.11,0.00,0.08,0.00,0.11,0.00,0.11,0.00,0.00,0.11,0.00,0.00,0.09,0.00,0.15,0.08,0.12,0.25,0.12,0.00,0.11,0.10
многоквартирный дом,0.11,0.21,0.05,0.11,0.21,0.11,0.11,0.00,0.16,0.11,0.11,0.11,0.11,0.21,0.11,0.11,0.21,0.16,0.11,0.16,0.11,0.16,0.11,0.11,0.16,0.11,0.05,0.16,0.16,0.32,0.11,0.26,0.16,0.11,0.11,0.21,0.26,0.26,0.16,0.16,0.11,0.16,0.11,0.11,0.21,0.11,0.11,0.16,0.11,0.16,0.16,0.05,0.16,0.11,0.11,0.05,0.21,0.21,0.16,0.05,0.05,0.16,0.00,0.21,0.21,0.16,0.16,0.20
офисное здание,0.14,0.07,0.14,0.29,0.07,0.14,0.14,0.26,0.27,0.07,0.07,0.22,0.14,0.14,0.21,0.26,0.14,0.29,0.14,0.07,0.14,0.25,0.36,0.14,0.14,0.07,0.13,0.14,0.14,0.14,0.14,0.25,0.29,0.12,0.07,0.14,0.00,0.07,0.14,0.14,0.07,0.21,0.07,0.18,0.12,0.13,0.17,0.21,0.07,0.07,0.07,0.07,0.14,0.07,0.07,0.07,0.14,0.14,0.29,0.14,0.14,0.14,0.29,0.19,0.21,0.07,0.07,0.27
фабрика,0.14,0.18,0.30,0.12,0.00,0.29,0.43,0.11,0.07,0.29,0.00,0.00,0.29,0.07,0.18,0.11,0.00,0.12,0.14,0.00,0.00,0.12,0.21,1.00,0.00,0.00,0.07,0.14,0.00,0.21,0.00,0.12,0.25,0.18,0.43,0.00,0.12,0.21,0.29,0.14,0.00,0.12,0.14,0.12,0.12,0.07,0.22,0.20,0.08,0.12,0.29,0.14,0.33,0.10,0.00,0.33,0.22,0.22,0.27,0.14,0.08,0.15,0.12,0.06,0.04,0.00,0.00,0.10
склад,0.40,0.09,0.10,0.12,0.14,0.14,0.00,0.16,0.07,0.00,0.17,0.06,0.00,0.00,0.18,0.11,0.14,0.25,0.20,0.00,0.00,0.12,0.14,0.00,1.00,0.00,0.07,0.00,0.20,0.07,0.29,0.06,0.25,0.12,0.00,0.14,0.25,0.14,0.17,0.20,0.00,0.25,0.20,0.12,0.06,0.00,0.11,0.20,0.08,0.00,0.20,0.00,0.00,0.10,0.14,0.11,0.11,0.11,0.27,0.40,0.00,0.15,0.12,0.12,0.12,0.12,0.00,0.07
музей,0.00,0.09,0.10,0.12,0.00,0.00,0.17,0.11,0.07,0.00,0.08,0.06,0.00,0.07,0.18,0.11,0.00,0.00,0.20,0.17,0.17,0.06,0.07,0.00,0.00,1.00,0.13,0.00,0.00,0.14,0.00,0.06,0.12,0.12,0.00,0.00,0.00,0.07,0.00,0.00,0.33,0.00,0.00,0.12,0.12,0.07,0.11,0.10,0.08,0.00,0.00,0.20,0.11,0.10,0.00,0.11,0.11,0.11,0.00,0.00,0.08,0.08,0.06,0.12,0.12,0.12,0.17,0.07
художественная галерея,0.09,0.18,0.14,0.18,0.14,0.09,0.14,0.18,0.32,0.09,0.23,0.27,0.05,0.18,0.18,0.18,0.18,0.18,0.09,0.18,0.27,0.14,0.27,0.05,0.09,0.09,0.68,0.18,0.05,0.27,0.14,0.23,0.18,0.18,0.09,0.14,0.09,0.18,0.14,0.09,0.09,0.23,0.09,0.14,0.23,0.18,0.09,0.18,0.27,0.09,0.14,0.05,0.09,0.14,0.14,0.18,0.18,0.18,0.14,0.09,0.18,0.18,0.14,0.18,0.21,0.09,0.18,0.17
театр,0.00,0.18,0.10,0.06,0.14,0.00,0.17,0.16,0.20,0.17,0.00,0.11,0.20,0.29,0.18,0.11,0.29,0.38,0.20,0.17,0.17,0.06,0.07,0.14,0.00,0.00,0.13,1.00,0.00,0.14,0.14,0.25,0.12,0.06,0.20,0.14,0.12,0.07,0.17,0.20,0.33,0.12,0.20,0.18,0.25,0.20,0.00,0.10,0.23,0.25,0.00,0.20,0.11,0.20,0.14,0.11,0.22,0.22,0.09,0.20,0.31,0.15,0.12,0.19,0.04,0.12,0.17,0.13
кино,0.20,0.09,0.10,0.18,0.29,0.29,0.00,0.11,0.07,0.00,0.00,0.06,0.25,0.14,0.00,0.11,0.29,0.12,0.25,0.00,0.00,0.19,0.07,0.14,0.20,0.00,0.07,0.00,0.75,0.14,0.14,0.12,0.00,0.06,0.00,0.00,0.12,0.07,0.00,0.20,0.00,0.38,0.00,0.18,0.19,0.13,0.17,0.10,0.15,0.12,0.00,0.00,0.11,0.10,0.14,0.11,0.22,0.22,0.09,0.00,0.15,0.15,0.12,0.12,0.12,0.25,0.00,0.10
концертный зал,0.14,0.14,0.14,0.24,0.14,0.21,0.14,0.26,0.13,0.14,0.00,0.11,0.07,0.07,0.14,0.21,0.14,0.21,0.14,0.14,0.21,0.00,0.07,0.14,0.07,0.14,0.07,0.14,0.14,0.93,0.07,0.19,0.36,0.24,0.07,0.14,0.07,0.36,0.29,0.14,0.14,0.14,0.14,0.18,0.25,0.40,0.33,0.29,0.07,0.14,0.14,0.07,0.14,0.07,0.07,0.14,0.14,0.14,0.07,0.07,0.00,0.07,0.06,0.25,0.17,0.07,0.14,0.20
стадион,0.00,0.09,0.10,0.12,0.00,0.00,0.00,0.16,0.20,0.14,0.00,0.17,0.14,0.14,0.18,0.16,0.00,0.25,0.14,0.00,0.00,0.25,0.21,0.14,0.29,0.00,0.07,0.14,0.14,0.07,0.86,0.25,0.12,0.18,0.14,0.00,0.12,0.21,0.00,0.29,0.00,0.25,0.14,0.24,0.19,0.07,0.11,0.10,0.23,0.12,0.14,0.14,0.22,0.10,0.14,0.11,0.11,0.11,0.18,0.29,0.23,0.23,0.18,0.19,0.12,0.12,0.00,0.17
спортивный центр,0.06,0.19,0.06,0.12,0.06,0.06,0.19,0.16,0.19,0.06,0.12,0.28,0.06,0.62,0.25,0.21,0.12,0.12,0.06,0.19,0.19,0.12,0.06,0.12,0.06,0.06,0.06,0.25,0.06,0.19,0.19,0.94,0.31,0.18,0.12,0.06,0.06,0.19,0.12,0.19,0.12,0.19,0.06,0.47,0.56,0.38,0.22,0.12,0.31,0.12,0.06,0.00,0.12,0.06,0.19,0.06,0.19,0.19,0.19,0.12,0.50,0.19,0.12,0.50,0.12,0.19,0.19,0.37
