,manzana,pera,banana,naranja,limón,cal,uva,cereza,fresa,frambuesa,arándano,zarzamora,sandía,melón,durazno,ciruela,albaricoque,piña,mango,kiwi,papaya,granada,pomelo,higo,fecha,coco,palta,mandarina,arándano,maracuyá,guayaba,lychee,caqui,nectarina,grosella,aceituna
jabłko,0.14,0.00,0.17,0.14,0.00,0.17,0.00,0.00,0.00,0.22,0.12,0.22,0.17,0.00,0.14,0.00,0.18,0.00,0.33,0.00,0.17,0.14,0.17,0.17,0.00,0.17,0.17,0.11,0.12,0.12,0.14,0.00,0.17,0.11,0.00,0.00
gruszka,0.14,0.14,0.14,0.14,0.00,0.00,0.29,0.29,0.43,0.22,0.12,0.22,0.14,0.00,0.14,0.29,0.09,0.14,0.00,0.00,0.14,0.43,0.00,0.00,0.14,0.00,0.14,0.11,0.12,0.12,0.29,0.00,0.00,0.11,0.50,0.12
banan,0.57,0.20,0.83,0.43,0.20,0.20,0.20,0.00,0.00,0.11,0.38,0.22,0.33,0.20,0.29,0.00,0.18,0.20,0.40,0.00,0.33,0.43,0.00,0.00,0.00,0.00,0.20,0.44,0.38,0.25,0.29,0.00,0.20,0.22,0.00,0.12
pomarańczowy,0.25,0.25,0.17,0.25,0.08,0.08,0.08,0.17,0.08,0.17,0.17,0.25,0.08,0.08,0.25,0.08,0.25,0.17,0.25,0.08,0.25,0.17,0.33,0.08,0.08,0.25,0.17,0.17,0.17,0.42,0.17,0.08,0.08,0.08,0.08,0.08
cytrynowy,0.11,0.11,0.11,0.22,0.11,0.11,0.00,0.22,0.11,0.00,0.11,0.11,0.11,0.11,0.22,0.22,0.18,0.00,0.11,0.11,0.11,0.22,0.11,0.11,0.00,0.22,0.00,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11
wapno,0.29,0.00,0.33,0.29,0.00,0.20,0.00,0.00,0.00,0.11,0.25,0.22,0.17,0.00,0.43,0.00,0.18,0.00,0.40,0.00,0.33,0.14,0.17,0.20,0.00,0.20,0.20,0.22,0.25,0.12,0.14,0.00,0.20,0.22,0.00,0.12
winogrono,0.22,0.11,0.22,0.22,0.22,0.00,0.00,0.11,0.11,0.00,0.22,0.11,0.11,0.11,0.22,0.11,0.09,0.11,0.33,0.11,0.00,0.11,0.22,0.33,0.00,0.22,0.00,0.33,0.22,0.00,0.00,0.00,0.00,0.22,0.11,0.11
wiśniowy,0.12,0.00,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.12,0.11,0.12,0.00,0.00,0.12,0.18,0.12,0.25,0.25,0.00,0.12,0.12,0.25,0.00,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.00
truskawka,0.22,0.11,0.22,0.22,0.00,0.11,0.22,0.11,0.33,0.22,0.22,0.11,0.22,0.00,0.22,0.22,0.00,0.11,0.11,0.22,0.22,0.33,0.00,0.00,0.11,0.00,0.22,0.11,0.22,0.00,0.33,0.00,0.11,0.11,0.33,0.11
malina,0.57,0.17,0.50,0.43,0.17,0.33,0.17,0.17,0.17,0.22,0.25,0.22,0.33,0.50,0.14,0.14,0.18,0.33,0.33,0.17,0.33,0.29,0.00,0.17,0.17,0.00,0.50,0.56,0.25,0.25,0.29,0.00,0.17,0.44,0.12,0.38
jagoda,0.29,0.17,0.33,0.29,0.00,0.17,0.17,0.17,0.17,0.22,0.25,0.33,0.33,0.00,0.00,0.14,0.18,0.17,0.33,0.00,0.33,0.43,0.00,0.33,0.17,0.17,0.33,0.22,0.25,0.12,0.29,0.00,0.17,0.22,0.12,0.12
jeżyna,0.29,0.33,0.33,0.29,0.17,0.00,0.17,0.33,0.17,0.11,0.12,0.11,0.17,0.33,0.14,0.14,0.00,0.17,0.00,0.00,0.17,0.14,0.00,0.00,0.33,0.00,0.17,0.22,0.12,0.00,0.29,0.00,0.00,0.33,0.12,0.38
arbuz,0.14,0.00,0.17,0.29,0.00,0.00,0.00,0.17,0.20,0.33,0.25,0.22,0.17,0.00,0.14,0.14,0.27,0.00,0.00,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.22,0.25,0.38,0.14,0.00,0.20,0.22,0.12,0.25
melon,0.29,0.20,0.17,0.14,0.20,0.20,0.00,0.17,0.00,0.11,0.12,0.11,0.00,0.80,0.14,0.14,0.09,0.00,0.20,0.00,0.00,0.00,0.50,0.20,0.20,0.20,0.20,0.22,0.12,0.12,0.00,0.00,0.00,0.22,0.25,0.25
brzoskwinia,0.18,0.09,0.27,0.18,0.09,0.00,0.09,0.09,0.27,0.18,0.18,0.18,0.18,0.09,0.09,0.09,0.00,0.18,0.09,0.27,0.09,0.18,0.09,0.09,0.09,0.09,0.09,0.27,0.18,0.00,0.09,0.00,0.09,0.27,0.36,0.18
śliwka,0.14,0.17,0.17,0.14,0.33,0.00,0.17,0.17,0.17,0.11,0.12,0.11,0.17,0.00,0.00,0.14,0.18,0.33,0.00,0.33,0.17,0.14,0.00,0.17,0.17,0.00,0.17,0.11,0.12,0.00,0.14,0.00,0.00,0.11,0.12,0.25
morela,0.29,0.33,0.17,0.29,0.00,0.17,0.17,0.50,0.50,0.33,0.12,0.22,0.17,0.33,0.14,0.57,0.09,0.17,0.17,0.00,0.17,0.14,0.50,0.00,0.17,0.17,0.17,0.33,0.12,0.25,0.14,0.00,0.00,0.22,0.50,0.12
ananas,0.57,0.17,0.67,0.43,0.00,0.17,0.17,0.00,0.17,0.22,0.38,0.22,0.33,0.00,0.14,0.00,0.18,0.17,0.33,0.00,0.33,0.43,0.00,0.00,0.17,0.00,0.17,0.44,0.38,0.25,0.29,0.00,0.17,0.22,0.00,0.25
mango,0.43,0.00,0.33,0.29,0.00,0.20,0.00,0.00,0.00,0.11,0.25,0.22,0.33,0.20,0.29,0.00,0.18,0.00,1.00,0.00,0.17,0.29,0.17,0.40,0.00,0.20,0.20,0.33,0.25,0.25,0.14,0.00,0.20,0.11,0.00,0.00
kiwi,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.25,0.00,1.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.20,0.11,0.00,0.12
papaja,0.43,0.33,0.50,0.57,0.00,0.17,0.17,0.17,0.17,0.22,0.12,0.33,0.33,0.00,0.14,0.14,0.09,0.33,0.17,0.00,0.83,0.43,0.17,0.00,0.17,0.00,0.50,0.33,0.12,0.25,0.43,0.00,0.17,0.22,0.12,0.12
granat,0.29,0.17,0.33,0.43,0.00,0.17,0.17,0.17,0.33,0.22,0.38,0.22,0.17,0.00,0.29,0.14,0.09,0.17,0.33,0.00,0.17,0.71,0.00,0.00,0.17,0.00,0.17,0.22,0.38,0.25,0.43,0.00,0.17,0.22,0.25,0.12
grejpfrut,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.11,0.22,0.11,0.11,0.11,0.00,0.11,0.00,0.00,0.09,0.11,0.00,0.00,0.11,0.22,0.00,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.11,0.22,0.11
figa,0.14,0.25,0.17,0.14,0.20,0.00,0.25,0.17,0.40,0.22,0.12,0.11,0.17,0.00,0.14,0.29,0.09,0.50,0.20,0.25,0.17,0.14,0.00,0.50,0.40,0.00,0.20,0.22,0.12,0.12,0.14,0.00,0.00,0.22,0.12,0.25
data,0.29,0.25,0.33,0.29,0.00,0.25,0.25,0.17,0.20,0.22,0.25,0.22,0.33,0.00,0.29,0.14,0.09,0.25,0.20,0.00,0.33,0.29,0.00,0.00,0.20,0.00,0.60,0.33,0.25,0.25,0.29,0.00,0.20,0.22,0.12,0.25
orzech kokosowy,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.07,0.20,0.13,0.13,0.13,0.00,0.07,0.07,0.07,0.07,0.00,0.07,0.13,0.00,0.07,0.13,0.13,0.20,0.20,0.00,0.00,0.13,0.07,0.00,0.13,0.07,0.13,0.13,0.07
awokado,0.14,0.14,0.14,0.00,0.00,0.14,0.14,0.00,0.14,0.11,0.38,0.22,0.14,0.00,0.14,0.00,0.18,0.14,0.14,0.14,0.14,0.29,0.29,0.14,0.14,0.29,0.14,0.11,0.38,0.12,0.14,0.00,0.00,0.11,0.12,0.12
mandarynka,0.60,0.20,0.50,0.50,0.10,0.10,0.10,0.20,0.20,0.10,0.30,0.30,0.40,0.20,0.20,0.20,0.18,0.10,0.30,0.00,0.40,0.30,0.00,0.00,0.10,0.00,0.20,0.80,0.30,0.30,0.30,0.00,0.10,0.40,0.10,0.30
żurawina,0.25,0.25,0.38,0.38,0.12,0.12,0.25,0.25,0.25,0.22,0.12,0.33,0.25,0.12,0.50,0.25,0.18,0.25,0.12,0.25,0.25,0.38,0.00,0.12,0.12,0.00,0.25,0.44,0.12,0.25,0.38,0.00,0.12,0.44,0.12,0.25
marakuja,0.38,0.25,0.38,0.62,0.00,0.12,0.25,0.25,0.25,0.33,0.12,0.44,0.25,0.12,0.25,0.25,0.18,0.12,0.25,0.12,0.38,0.38,0.00,0.00,0.12,0.00,0.25,0.44,0.12,0.62,0.25,0.00,0.25,0.22,0.12,0.25
guawa,0.29,0.20,0.33,0.29,0.00,0.20,0.40,0.17,0.20,0.22,0.12,0.22,0.17,0.00,0.29,0.29,0.09,0.20,0.00,0.20,0.33,0.43,0.00,0.00,0.20,0.00,0.20,0.22,0.12,0.12,0.57,0.00,0.00,0.22,0.25,0.12
liczi,0.14,0.00,0.00,0.00,0.40,0.20,0.00,0.17,0.00,0.00,0.00,0.11,0.00,0.00,0.14,0.14,0.27,0.20,0.00,0.40,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.11,0.00,0.12,0.00,0.33,0.20,0.22,0.00,0.12
persymona,0.22,0.44,0.22,0.22,0.22,0.00,0.11,0.33,0.22,0.11,0.22,0.44,0.22,0.22,0.22,0.22,0.09,0.22,0.11,0.00,0.33,0.22,0.22,0.11,0.22,0.11,0.22,0.22,0.22,0.11,0.22,0.11,0.00,0.33,0.22,0.22
nektarowy,0.11,0.22,0.11,0.22,0.00,0.11,0.11,0.22,0.11,0.00,0.11,0.22,0.11,0.11,0.11,0.00,0.18,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.22,0.11,0.22,0.22,0.11,0.11,0.11,0.00,0.11,0.56,0.00,0.11
porzeczka,0.22,0.33,0.11,0.22,0.00,0.11,0.11,0.44,0.33,0.11,0.11,0.33,0.11,0.11,0.22,0.33,0.09,0.22,0.00,0.00,0.22,0.22,0.33,0.00,0.33,0.22,0.22,0.11,0.11,0.22,0.11,0.11,0.00,0.11,0.22,0.11
oliwka,0.14,0.17,0.17,0.14,0.33,0.00,0.17,0.17,0.17,0.11,0.12,0.11,0.17,0.00,0.00,0.14,0.18,0.33,0.00,0.33,0.17,0.14,0.00,0.17,0.17,0.00,0.17,0.11,0.12,0.00,0.14,0.00,0.00,0.11,0.25,0.25
